movie,sentence,score
모가디슈,"뭐같은 콩글리쉬, 반군에게 들킬 뻔한 북한을 살려둔 점, 억지로 감동 포인트를 연출 해내려고 함,두 눈 뜨고 보기 아까운 주인공 버프, 블랙 위도우도 평이 안좋은 판에 이렇게 국뽕에 치솟은 영화가 있다니개돼지들 성을 알겠다 ",1
모가디슈,진짜 꿀잼. 꼭 보세요. 조인성은 못참지 ,10
모가디슈,아 생각보다 엄청 스릴 있네요~~스릴 있어요~~아 긴장되고 똥줄이 타서 죽는줄... ,10
우리들,나도 너도 우리도 이 영화의 한 역할이었던 때가 있었던 거 같다. 분명 '슬프다'고 정의내릴 수 있는 장면은 명확하게 없는데 잔잔하게 마음을 울린다. 나도 모르게 내 어린 시절이 떠올라 눈물이 났다. ,10
감쪽같은 그녀,계속 울었습니다 지치고 힘들어 울고 싶으신분들에게 정말추천합니다 ,10
블랙 위도우,마블 시리즈 중 최고의 영화 ,10
크루엘라,기대이상의 수작. 유쾌하고 새로운 악당 탄생. 2시간동안 매우 즐거웠음. ,10
모가디슈,하 진짜 돈아깝네요 그나마배우때문에보는영화인듯 ,1
아메리칸 갱스터,최고다. 덴젤워싱턴 러셀크로우 ,10
모가디슈,군더더기 없이 깔끔한 스토리와 연기 아주 좋았습니다!! 정말 오랜만에 극장 나들이였는데 너무 즐거움 관람하고 왔어요~!! ,10
뻔뻔한 딕 & 제인,짐캐리 때문에 봤어요 연기며 스토리까지 생각보다 더 재밌어서 계속 웃으며 봤습니다 ,10
야쿠자와 가족,기대를 벗어난 뻔한 결말과 과장섞인 주인공의 몰락서사가 무척 아쉽지만 배우들의 열연에 8점 ,8
오아시스,평가할수없는 영화 이창동의 빛의잔치 ,10
봄날은 간다,20년만에 다시 봐도 좋은 영화 ,10
더 수어사이드 스쿼드,데드풀 정도가 적당한거 같어 이건 좀 과해 ㅋㅋ 감독 뇌구조가 궁금하다 ,8
콘택트,"'우주에 생명체가 우리뿐이라면 그것은 엄청난 공간낭비다"" 이 대사 하나만으로 내게 외계인이 있다고 확신시켜준 영화 ",10
극장판 도라에몽: 진구의 신공룡,펭수도 이렇게 됐으면 좋겠다 ,10
언더 워터,이건 뭐. 간만에 보는 제대로 된 샤크 스릴러네요! ,10
은행털이와 아빠와 나 2,은행털이와 아빠와 나 2가 왜 1보다 먼저 나왔지? ㅡㅡㅋ1: 1986년2: 1983년 ,8
인시디어스 3,와 너무 재밌게 봄요 굿굿 ,10
비긴 어게인,"배우들의 살아있는 표정은 날 영화속으로 잡아당겼고, ost들은 내가 주인공들과 함께 춤을 추게 만들었다. ",10
그루피: 사생팬,1등 ... 부자되게해주세요^^ ,10
먼 훗날 우리,중국...이 세상에서 제일 싫은 나라 당당1순위다... ,1
모가디슈,이국적인 배경덕에 꽉 찬 영화가 되었네요. 별이빼곡한 밤하늘까지 현지올로케 값 합니다. ,10
방법: 재차의,드라마보다 볼만했어요% 지루하지 않고요 ,10
호스트: 접속금지,요즘같은시국에 맞는 공포영화를 만드신것 같은데 그렇게 막 무섭진 않았고 재밌지도 않은것 같아요. 6점을 준 이유는 그래도 완전 노잼까지는 아니었다라는 겁니다. ,6
콘스탄틴,레이첼 바이스… 최고의 배우. ,10
블러드 킬,뚱보가 된 시걸은 눈뜨고 볼수가 없다 ,1
비열한 거리,"조인성님 정말 대단하네요병두ㅠ ,,, 연기안같아요짱^^ ",10
황해,그냥 계속 보게 되네요 ㅋㅋ ,10
더 수어사이드 스쿼드,"만화는 안봐서 할리퀸 빼고는 다 모르는 캐릭터들이었는데도 캐릭터 하나하나 개성있고 재밌음. 액션 연출도 만족, 데드풀 비슷한 유머코드 같아요. ",8
오만,"가볍게 봤다가 연기랑 연출에 입덕~~ 지일주 배우님, 감독님, 다시 보게 되었습니다. 앞으로도 계속 좋은 영화 만들어주시길~ ",10
너와 파도를 탈 수 있다면,우연히 보게 되었는데 처음부터 초 집중.... 진짜 괜찮음 ,10
스파이,전형적인 한국 코미디.. 웃으면서 봤다. 스토리가 좀 많이 허술하다. 진주인공은 다니엘 헤니인 듯. ,7
괴기맨숀,스토리가 없는 공포는 아니올시다... ,3
꽃다발 같은 사랑을 했다,그냥 자연스럽고 이쁜 청춘 연애 이야기 ,9
더 수어사이드 스쿼드,왠맘한 마블영화보다 10배 잼 잇음 ,10
황해,세번째 봄영화는 이래여야만 하는것 ,10
아미 오브 더 데드,이 영화가 이렇게 점수가 낮다고?한국영화계 참 한심하다. 한국영화 보게 하려고 알바 동원해서 미국 영화 평점 깎아내리는 짓이나 하고 부끄러운 줄 알아라. ,10
해가 서쪽에서 뜬다면,다시 봐도...임창정의 천진난만 순진하고 착한 감정선이 와닿아서...풋풋한 그 시절로 돌아가는 듯....고소영 미모.. 옛날도 지금도 여전하네... ,10
건축학개론,이걸 왜 이제야 봤지.. 최고의 영화입니다. 여운이 남네요 ,10
워크래프트: 전쟁의 서막,몇번을 봐도 재밌는데.. 왜 2편이 안나오지.. 너무 아쉽다.. ,10
루카,처음 시작부분은  좀 별로였는데 은근히 감동적이고 인간과 서로 융화되는 끝부분이 뭉클했어요. 역시 편견없이 서로를 바라봐야 할 것 같아요. ,9
모가디슈,"정말 재밌게 잘 봤습니다 후반부터 심하게 울고 마지막에 거의 오열해서 ㅠ 끝나고 자막 다 올라갈때까지도 못나갔어요,, 극장에서 나 혼자 운 것 같고 쩜 민망하네요,, 아무튼 5점 만점 드립니댜 ㅠㅠ ",10
모가디슈,"조인성,김윤석팬이지만 감독이 싫음..군함도에서 너무 실망..그뒤. 믿고거르는 감독임 ",2
클릭,정말 감동적인 영화입니다....ㅠㅠ정말 주어진 지금 순간순간을 소중하고 감사하게 주위사람들을 사랑하면서 살아가겠습니다! ,10
블러드 레드 스카이,재밌았는데.. 좀비영화인데 신박했음 ,10
갈매기,왜 대상 받았는지 알것 같아요 연기부터 연출까지 정말 완벽합니다... 이게 영화죠 독립영화라ㅜㅜ 더 많은 상영관을 갖지 못한것이 아쉽기만 하네요 ,10
더 수어사이드 스쿼드,역시 제임스건 ,8
모가디슈,간만에 몰입도 높은 한국 영화를 봤어요정말 재밌었어요 ,10
더 플랫폼,많은 생각을 들게해준 영화였습니다 특히 나이든 남자 배우님의 연기가 독보이는 작품이었습니다 ,10
더 수어사이드 스쿼드,"살면서 영화리뷰 처음써봄.. 개인적으로 오락영화 개념으로 재밋게 봤던 1편에서 할리퀸이 그냥 정신병자 또라이 ㅆㄴ이었다면 2편에 와서 할리퀸이 왜 '퀸'인가 보여주는 좋은 연출이 있었다 생각함 할리퀸의 카리스마 액션 병맛 다 잘 표현해 낸거같음데드풀 느낌의 블랙코미디를 연출하려는 시도가 계속 보이는데 나는 만족함 같이 본 관객들도 다 긍정적으로 웃었고 재밋다고 평가하면서 나감애초에 수어사이드스쿼드라는 영화는 병맛 오락영화로 즐기는 용도이지 스토리(개똥), 연기력 신파 감동 같은거 기대하면 노잼일듯... 그리고 1편에 비해 많이 잔인하고 폭력성이 높음 잔인한거 싫으시면 비추 ",10
판도라,영화평론가들은 다 대깨문수준이지?? ,10
스파이더맨,거미인간이라는 히어로의 탄생을 알리는 마블의 역작. 단 한 순간도 지루할 틈이 없이 아주 짜임새있게 전개됨. 실사와 CG가 적절한 비율로 적절하게 결합하여 리얼리티가 살아 있음. 각종 재난상황에서의 스파이더맨의 활약이 감동까지 줌. ,10
엘리자베스타운,배우들 연기는 좋으나 미국식 오글거림의 극치;; ,6
모가디슈,류승완 감독이 한국판 아르고를 만들 줄이야.. ,8
모가디슈,조인성씨 연기 너무 좋았어요 ,10
올드 가드,좀 지루한가? 싶더니 점점 몰입하다가 2를 기다리게 됨. 시즌제 미드였음 완전 몰입해서 봤을 것 같음. ,10
이장과 군수,평범하지 않지만 평범해서 더 좋은 결말 ,10
블러드 레드 스카이,애새0 때문에 망한 영화 처음부터 끝까지 발암 캐 ,1
더 수어사이드 스쿼드,데드풀을 뛰어넘는 병맛 히어로물!!!뭐 하나 모자란게 없는 올해 최고의 오락물 특이 샤크 골때림 ㅋ ,9
모가디슈,심장쫄깃하게 너무 재밌게 잘 봤어요 ㅠㅠ 끝에서 너무 슬펐고 가슴이 먹먹 ㅠㅠ 감독님 그리고 배우님들 멋진영화 너무 감사합니다!! ,10
다만 악에서 구하소서 파이널컷,오랜만에  시간 가는줄모르고 봤네요^^  너무재밌게 봤습니다 ,10
블루 재스민,그녀의 경험은 인생에 가장큰 충격이였을 것이다.  과거를 잊을수는 있어도 남겨진 것은 타인에의해 발견된다 ,10
모가디슈,몰입감민족의 현위치스토리와 감동 모두 좋음 ,10
해어화,내내 소율에 이입하면서 볼 수 밖에 없었고 끝나고 보니 눈물 콧물 다 빼고 있었다… 인생영화중 하나가 될 거 같지만 감정적인 여유가 있을 때 큰 마음을 먹고나서야 돌려볼 것 같다. 그만큼 무게감있는 영화였다. ,9
시리어스 맨,"알 수 없는 인생, 답을 찾으려 하지말란 듯 하지만 더욱 많은 물음표를 남기게 하는 영화. ",8
모가디슈,시간가는줄 모르고봤네요. 실제상황같은 세트와 현장감. ,8
모가디슈,근래 한국영화중에 가장 재밌게 봤어요 정만식배우님 응원해요 ,10
경성학교: 사라진 소녀들,진짜 최악….사라진 소녀들이 아니라 사라진 시간임 너무 시간 아깝다 이게 도대체 뭐임 ,1
모가디슈,군더더기 없이 시간 순삭 잼있어요 ,10
담보,진짜 겁나 슬퍼여... 예고편만 보고 좌충우돌 코믹물인 줄 알고 봤다가 눈물 쏙 빼고 남친한테 놀림만 받았네여... 지는 울 타이밍에 폰 하면서 딴 짓 했으면서ㅡㅡ 암튼 티빙에 있으니 꼭 한 번 보세요... 정말 너무 많이 울었어요ㅜ 성동일 아저씨랑 애기 연기가 진짜....ㅜㅠㅠㅠ ,10
성난황소,작위적이고 개연성이 부족한 연출. 좋은 배우들이 열연했지만 A급 오락 영화로는 부족하다. ,7
콜래트럴,너무 저평가된 액션 영화. ,10
루카,"재미와 감동을 다 잡은 작품!! 청량감 넘치는 화면 연출에, 스토리도 맘에 들고, 캐릭터들도 너무 귀엽고 사랑스러워요. 애니메이션 좋아해서 종종 보는데, 개인적으로 Top5 안에 듭니다. 역시 디즈니,픽사 영화는 역시 믿고 봅니다!! ",10
미드나이트,고구마 몇억개 먹고 체함 절대 보지마시오 절대 ,2
터널,한국 재난 영화 중 볼만한 영화. ,9
무언의 목격자,답답하면서 극도의 긴장감이 감돈다 ,9
올드 가드,너무 재밌다 2 기대됨 ㄹㅇ ,10
살인자의 기억법,재밌어요 적절한 코믹요소도 있고 연기력도 좋음 ,10
여고괴담 여섯번째 이야기 : 모교,vod로 나와서 돈주고 봤는데 돈이 너무너무아까워서 분노가 차올라서 잠을 못잤음...ㅋㅋㅋ그정도임 진짜 돈줘도 보지마세요. 시간아까움. 정신산만하고 어수선하고 하나도 안무서운 영화 졸작중의 졸작이다 진짜 발로 편집했나봄. 진짜 개구림 ,1
모가디슈,누구랑 보던 실패없는 영화. 너무 재밌게 봤습니다! 극장에서 보시는걸 추천해요 ㅜㅜ! ,10
순수의 시대,신하균 연기에 너무 감동 ,10
국제시장,걍 신파 그이상 그이하도 아닌 ,6
원스 어폰 어 타임... 인 할리우드,왜 제목이 원스 어폰 어 타임 인 할리우드 인지 알겠다... 마지막까지 맘 조리게 해놓고선 이이이이잉? ,7
발신제한,각본이 미흡했음 배우연기는 보통 ,6
감시자들,평점이 왜. 지금봐도 최고인데.감시자들 2 나오나요 ,10
더 수어사이드 스쿼드,할리퀸 최고..오늘도 세상을 구한 퀸 ,10
카메라를 멈추면 안 돼!,스토리 좋고 감동도 있고 ,10
빌리 엘리어트,인생의 수많은 딜레마는 사실 돌아보면 정말 별것도 아닌 나의 자존심 때문에 야기됐다. ,7
방법: 재차의,반기업 권해요가 나오는 좌파영화 ,2
CCTV,여조연들 연기 어쩔거야. ,4
극장판 도라에몽: 진구의 신공룡,도라에몽은 미키마우스 라이벌이지...한국이 자랑하는 캐릭터는?뽀로로?펭수? ,10
라라랜드,달콤씁쓸한 커피를 마시며 카페에서 이별한다면 이 느낌? ,8
블랙핑크 더 무비,블랙핑크 공연에 온 듯한 현실감 대박 단 1도 지루할 틈이 없었네요 또 보러갈래요! ,10
모가디슈,진짜 간만에 작품하나보고감 역시 류승완 ,10
발신제한,더테러라이브 범인 탈옥함?ㅋㅋㅋ그냥저냥볼만함 ,6
모가디슈,구교환 배우 인상 깊었습니다 강추!! ,10
버닝,감독 연출 연기 다 최고의 작품임정말 가득 담아서 보여줬으나 선택해서 받아들이면 되는 영화 ,9
돌멩이,감독이 착한병에 걸려서 출연자 전부 나쁜놈으로 만들었어요. 고구마 한 100개 먹은듯. ,2
브이 포 벤데타,상식과 상징에 관한 이야기. 상식은 보편에 있고 상징은 신성불가침이다. 그리고 이 둘은 다르지않다. 민주주의는 보통사람들의 자유로 상징되며 그 의미의 표상으로부터 진정한 민주주의가 시작된다. 상식의 수호는 누군가 위대한 사람의 고귀한 행위로부터 시작되는게 아니다. 조작된 이념적 헤게모니로부터 부조리를 인식하고 배경앞으로 나와서 행동할 때 변화는 시작된다. 한 번 밖에 안봤지만 왜 지금 이탈리아에서 백신 인증서를 거부하고있는지 알 것 같다는 생각을 하게된다. 또 봐야지 ,10
가구야공주 이야기,부드러운 일본스런 이야기~ ,8
조 블랙의 사랑,브래드피트는 너무 잘생겼다. 홉킨스는 정말 멋있다. ,9
그린 나이트,"눈에 보이는 의미 보다 뭔가 더 있는 것 같다. 자연에 대한, 자유의지와 결정론이 언뜻 보이기도 하고 의미와 무의미, 기독교적 관점 그리고 심지어 윤회 같은 것이 보이기도 한다. 참 여러 생각을 하게 만드는 영화 였다. ",9
반도,이게 뭔지 싶다좀비조연의 매드맥스를 꿈꾸고 만들었고부산행의 기대감으로 흥행에 도움을 받으려했으나 퀄리티는 나락행그저 멋지고 싶은연기 2010년대 초반에 출시된 레이싱 게임 인트로와같은 조잡한 cg억지 신파어디서 본듯한 줄거리 뻔한 한국영화이상한 조합그나마 나은건 악역의 연기로 캐리될뻔했으나 이미 기대를 심어놨던 부산행 2 의 이미지와는 전혀맞지않은 모든게 다 발목을 잡은 총체적난국 ,1
모가디슈,"신파없고, 액션 좋고, 연출 좋고깔끔 그 자체 꼭 보세요 ",10
모가디슈,2시간 순삭입니다. 실화를 바탕으로 한 영화라 더 실감이 나네요. ,10
언컷 젬스,정신없어서 얼빠진 채 봤는데 수작 ,9
아이스 로드,아이들과 몰입도있게 잘보았습니다.동생(거티)을 제발 살려주세요!왜 제일 고생한 거티를 죽이냐고요!!울애들이 엉엉울었어요.죽었다고!!!잼나게 보았습니다 ,10
날씨의 아이,영화결말을 보자마자 주인공들의 감정보다는 피해로 인한 경제적손실을 먼저 추산하고 있는 나를 보았다.... ,9
붉은 거북,자연은 인간의 산물이지만 동시에 재난이 되기도 한다.그의 의지에 따라 자연은 그를 좋아했다고 말할 수 있다.. ,7
트라이앵글,아 진짜 답답하다가 답답하게 끝나는 영화 ㅋㅋ ,1
쓰리 데이즈,"치밀하지도 힘이 세지도 않다. 그럼에도, 그래서 더 몰입 된다. ",8
극한직업,고급식당은 아니지만 깔끔하게 맛있는 프랜차이즈 치킨느낌 ,8
목소리의 형태,"명확한 해결책은 없다. 하지만 그 모든 당연해질 수밖에 없었던 사건들이 서로 맞물릴 때, 그게 눈으로 보여 질 때야 그 일련의 과정들로 서로를 이해할 수 있었다. ",7
7번방의 선물,진짜 지...아지짜.... ,10
모가디슈,모든 배우님들 나무랄데 없는 연기에 박수를!!연출 스토리 연기 감동 잔인하지 않아 더 좋았다돈이 아깝지 않은 영화 ,8
크루엘라,엠마스톤 예뻐요!!! ,10
더 수어사이드 스쿼드,너무 어설프고 유치함… 피식하면서 봤다는 평이 있던데 전혀… 몇 년만에 보다가 졸았을 정도.. 시간 아까웠음 ,6
국가대표2,다시봐도 눈물지뢰임 수애연기좋음 ,10
그린 북,대립과 공존. 잔잔한 감동 속 흐르는 피아노 선율이 매력있네요. 추천합니다. ,10
더 그레이트 샤크,어마어마하다 진짜하.. ,1
모가디슈,류승완이 류승완했다. 안 볼 이유가 없음. ,10
모가디슈,ㅈ노잼 거릅니다ㅡ 111ㅡ ,1
방법: 재차의,모가디슈 따위가 1위 관객 많이 든다는게 이해가 안간다. 모가디슈 따위보단 훨 낫다. 드라마 원작?이라서 진입장벽이 있고 그거때문에 호불호 갈리고 관객수도 적은거 같던데 드라마 뭔지도 모르고 노관심인 1인이 관람했지만 상관없다 볼만하다 레알 모다디슈 따위보단 훨 나음. 다만 여자애 등장해서 퇴마?하는 순간부터 뭔가 연출이 영화스럽지 않고 티비서 많이 틀어주는 드라마들 연출같다고나 할까? 영화스러운 스케일이 아닌 티비드라마 스러운 좀 허접때기 같은? 막판에 끝판왕? 등장하고 나오는  cg연출도 그렇고. cg가 얼마나 실감가고 잘되고 어색하지 않고 그걸 떠나서 연출 자체가 영화스럽지 않고 허접때기 스러움. 그것도 그렇고 누군가 말대로 다소 유치스럽고 판타지스럽다는것도 맞음 결말이 좀 그럼. 그래도 뭐 큰 기대없이 정말 볼거 없어서 심심해서 각오?하고 봤는데 모가디슈 따위보단 훨 재밌고 생각보다 볼만했음. 수습기자? 어색한 연기가 반전이었는데 분장이 그래서 그런지 동남아 스러운거 같기도 한데 찾아보니 한국 연기자? ㅎ 그리고 오윤아 많이 늙었는데 연기 잘하는거 같음 굿~ 김인권은 특유의 오바스러움 튀는것 없이 자연스러운건 좋은데 비중이 너무 없어서 아쉽 ,6
덩케르크,스크린에서 연기에서 영상에서 ost에서 실화에서 ..그냥 밀려오는 잔잔한 감동 ,10
디스트릭트 9,최고의 외계인영화다. ,10
인턴,참 좋은 사람 벤~ 저런 멘토를 만나는것도 행복 ㅎㅎ ,8
7광구,다보고 주식 하한가 맞은 기분 들었다 ,1
캐시트럭,너무좋아 이런영화 너무 굿 ,10
랑종,"생각외로 내용이 허접하다고 느낌무슨 좀비물도 아니고, 전개도 별로고특히 카메라 무빙 때문에진심  여자친군 토하고 오고 나는 멀미나고 어지럽고 제대로 보지도 못하고돈 내고 멀미 사고옴 ,화남 돈아까움제발 이 평점을 보고 영화보러 가는걸 다시 한번 생각하세요 기미테를 사고 가던지 , 후.... ",2
더 수어사이드 스쿼드,전편보다 더 재미없는게 가능할까 싶은데 가능 ,1
더 수어사이드 스쿼드,사람의 응꼬는 헤어스타피쉬다 ,6
모가디슈,"JSA의 벽은 높고, 통일은 멀다. ",4
감시자들,재미있게 봤어요. 굿~~ ,10
엑스 마키나,너드 주인공때매 걸출한 인재인 회장만 죽음....AI년이 궁극의 악임....내가 40평생 수많은 영화를 보면서 실제로 스크린에 들어가서 죽여버리고 싶다는 생각을 들게 만든게 바로 이 영화 악역인 AI년임ㅋㅋ 진심 100년 영화 역사의 최고의 악역이 바로 이 영화 AI년일꺼다 ㅋㅋㅋ 멘탈 약한분들 보지 마셈 ㅋㅋㅋ ,1
과속스캔들, 재밌게 봤습니다^^별10개 ,10
원스 어폰 어 타임... 인 할리우드,타란티노 특유의 색깔은 좋다만 끝맛이 좀...영상은 예쁜데 허무하다. 취향차이 ,4
악마는 프라다를 입는다,사회 초년생이 꼭 봐야할 영화 ,10
암살,일제에 맞서싸운 독립군이야기 하지만 우리민족을 학살한 인민군의 최전선에는 김원봉이 있었다 ,10
실버 스케이트,흥미진진하고 러시아특유의 계절 의상 재현이 잘된거같아요 ,10
극장판 귀멸의 칼날: 무한열차편,과하다...내겐 2기로 넘어가기 위한 연결고리정도 ,6
더 수어사이드 스쿼드,냠냠밖에기억안남 ㅋㅋ ,10
모가디슈,진짜 총소리 대박액션 짱임 재미도 있구 굿굿 ,10
분노의 질주: 더 얼티메이트,장르를 SF다 라고 생각하고 보면 마음편히 즐길 수 있음 ,10
더 수어사이드 스쿼드,난이영화 너무좋음 갠적으로 지금같을때 웃으면서 보기좋고 영상미 좋고 연기는 잘하고 dc는 성인용 코믹영화 너무잘만듬 개인적으로 너무내스타일임 너무좋음 이게 dc의 매력인듯 내스타일이엿음 할리퀸 너무조음 ㅋㅋㅋㅋ 근데 킹샤크 까지 매력미 뿜뿜 그리고 호불호 갈리는 영화지만 싫으면 싫다고 솔직하게 평론하는건 좋은데 욕은 하지말았으면 해요 좋아서 보는사람들은 뭐가됩니까 욕하면 ,10
더 수어사이드 스쿼드,왜이리 유쾌한척하지 노잼임 그냥 할리퀸 총쏠때 꽃 나오는 것도 어디서 본 장면 같고 ,3
이별의 아침에 약속의 꽃을 장식하자,슬픈데... 너무 슬픈데... 너무 재밌고.. 마지막에 ost 쩔고.. 다 쩔어 ,10
더 수어사이드 스쿼드,제임스건 특유의 쌈마이식 연출은 그나마 볼만했는데 캐릭터들이 너무 메리트없음... 할리퀸마저 전보다 되려 매력없게 나옴. 제임스건도 못 살린거면 자살특공대는 이제 그만 놔줘라 dc것들아 ,2
이터널 선샤인,온전히 나를..그리고 상대방을 봐줄수는 없었을까..서로 지치게 만드는것도 사랑일까..그럼에도 불구하고..너와 함께하고 싶다 ,8
너와 파도를 탈 수 있다면,넘 아름답고 행복하고 슬펐던 그리고 넘 제 취향의 영화였어요 ,10
블랙 위도우,너무 재밌었어요 :) 근데 앞에 마블 영화 안봐서 왜 블랙위도우가 히어로인 줄은 모르겠지만 그래도 너무 재밌었어요 ,9
악인전,호쾌한 액션신이 눈을 즐겁게 하네요 ,10
더 라스트 머시너리,아들을 꼭 구해야 하나… 아오… 액션만 보고 싶었다 ,6
더 수어사이드 스쿼드,킬링타임용으로 봐줄만함이런 영화에 감동 스토리를 논하는거 자체가 모순아닐까?? ,10
맨츄리안 켄디데이트,마지막이 저게 뭐람영 별로임 ,4
블랙 위도우,볼거리도 풍부하고 스토리도 나름 괜찮았어요. 마블 잼. ,10
극장판 도라에몽: 진구의 신공룡,마지막장면에 큐가 나는모습을 보고 울커:(그리고 진짜 포인트는 진구가 마지막장면에서 철봉매달리기를 성공한것이다:)큐랑뮤 좋은 친구만나서 행복했음 좋겠다:) ,10
은혼 더 파이널,내 인생 최고의 애니 은혼 너와 함께 나이를 먹었고 너와 함께 인생을 걸어가 나는 성인이 되어 직장을 자리잡았다. 비록 너는 끝일지언정 나는 나의 길이 또 있다. 함께해서 고마웠고 또 잊지 않을것이다. ,10
너의 췌장을 먹고 싶어,재밌습니다 스토리도 정말 좋아요 ,10
모가디슈,두시간 동안 한시도 눈을 뗄 수 없었다... ,9
남매의 여름밤,인생영화.. 나중에 또 봐야지 ,10
더 이퀄라이저,통쾌하고 절제된 액션. ,10
쓰리 데이즈,1시간 정도만 참으면 뒤에 나와요. 탈옥범 쫓을 힘을 범죄수사에 썼으면… ,8
라라랜드,몇번을봐도 최고에요 ㅜㅜ ,10
연평해전,감동적이고 너무 슬픕니다ㅠㅠ... 군인분들 존경합니다 ,10
모가디슈,잘만들어진 영화같아요. 코로나시대임에도 많이들 보실듯요~~~ ,10
보스 베이비 2,다른 영화들에 비해 2인데도 재밌었어요 옛날 생각도 나고 ,10
그린 나이트,"가웨인'경'과 녹색의 '기사' 간 물리적, 심리적, 기사도적 간극을 좁혀가는 지난한 여정. 어렵지만 한번은 다시 풀어보고 싶은 문제작 ",8
콜 오브 와일드,벅 같은  개 키우고싶다.. ,8
보스 베이비 2,1편보다 훨씬 재미있게 봤어요~~! ,9
고질라 VS. 콩,극장에서 봤다면 더 멋있었을 듯. 화려함 그 자체. ,10
긴급 명령,말이 필요없음. 무조건 봐야함^^ ,10
정글 크루즈,생일이라 이거 봤는데 내용도 되게 재밌었구 개그도 좀 들어가서 웃겼던 것 같아요! 효과음이나 브금이 딱 디즈니 특유라 더 좋았어요 ,10
모가디슈,잼있어요올만에잘뵛습니다 ,10
아이리시맨,남자들의 세계에서 살아남은 한 남자의 덧없는 삶. ,5
건축학개론,9년이나 지났는데도 아직도 여운이 남아서 찾아보게된다. ,10
해가 서쪽에서 뜬다면,"의경으로 입대한 시기에 개봉한, 초반에 의경으로 복무중인 주인공이 나와서 더욱 기억에 남았던 영화 - 어른들을 위한 동화. 한국판 노팅힐 이라고 당시에 얘기했던 것이 기억에 납니다. ",10
모가디슈,오랜만에 신파아닌 한국영화 ,8
모가디슈,역시 류승완!근래 본 영화중 최고 ,10
정글 크루즈,액션도 좋고 코믹도 기대이상입니다 ㅎ ,9
모가디슈,근래 본 영화 중에서 가장 흥미진진했습니다! ,10
